TRDATE,REGION,STATE_NAME,MODE_OF_TRANSPORT,STATION_NAME,UTILITY,SECTOR,CAPACITY,NORMATIVE_STOCKS_REQUIRED_IN_DAYS,DAILY_REQUIREMENT,ACTUAL_STOCK_IMPORT,ACTUAL_STOCK_INDIGENOUS,ACTUAL_STOCK_TOTAL,ACTUAL_STOCK_DAYS,CRITICAL,SUPERCRITICAL,REMARKS
16-Feb-17,WESTERN,CHHATTISGARH,PITHEAD,SIPAT STPS,NTPC LIMITED.,CENTRAL,2980,15,51,0,119,119,2,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,PATHADI TPP,LANCO AMARKANTAK POWER PVT. LTD.,IPP,600,15,10,0,139,139,14,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,BHILAI TPS,NTPC-SAIL POWER CO. PVT. LTD.,CENTRAL,500,20,7,0,121,121,18,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,AKALTARA TPS,WARDHA POWER COMPANY LTD,IPP,1200,NA,0,0,0,0,NA,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,BARADARHA TPS,D.B.POWER CORP. LTD.,IPP,1200,20,17,0,57,57,3,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,BALCO TPS,BHARAT ALUMINIUM CO. LTD.,IPP,0,20,8,0,91,91,12,NULL,NULL,NA
16-Feb-17,WESTERN,CHHATTISGARH,RAIL,MARWA TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,0,20,8,0,158,158,20,NULL,NULL,NA
16-Feb-17,WESTERN,GUJARAT,RAIL,SABARMATI (C STATION),TORRENT POWER LTD,PVT,60,30,6,52,63,115,21,NULL,NULL,NA
16-Feb-17,WESTERN,GUJARAT,RAIL,SIKKA REP. TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,740,30,5,62,39,102,22,NULL,NULL,NA
16-Feb-17,WESTERN,GUJARAT,RAIL,GANDHI NAGAR TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,630,30,6,0,271,271,47,NULL,NULL,NA
16-Feb-17,WESTERN,GUJARAT,RAIL,UKAI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,1350,30,10,0,349,349,35,NULL,NULL,NA
16-Feb-17,WESTERN,GUJARAT,RAIL,WANAKBORI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,1470,30,11,0,498,498,45,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,RAIL,AMARKANTAK EXT TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,210,15,3,0,45,45,14,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,RAIL,SANJAY GANDHI TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,1340,20,19,0,150,150,8,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,RAIL,SATPURA TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,1330,20,12,0,166,166,14,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,RAIL,SHRI SINGHAJI TPP,M. P. POWER GENERATING CORPORATION LIMITED,STATE,1200,20,10,0,151,151,15,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,PITHEAD,VINDHYACHAL STPS,NTPC LIMITED.,CENTRAL,4760,15,74,0,1141,1141,15,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,RAIL,BINA TPS,JAI PRAKASH POWER VENTURE LTD.,IPP,500,25,4,0,89,89,20,NULL,NULL,NA
16-Feb-17,WESTERN,MADHYA PRADESH,RAIL,ANUPPUR TPP,MB POWER MADHYA PRADESH LTD,IPP,1200,25,9,0,132,132,15,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,BHUSAWAL TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1420,20,19,0,200,200,11,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,CHANDRAPUR(MAHARASHTRA) STPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,2920,20,31,0,389,389,13,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,KHAPARKHEDA TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1340,25,21,0,186,186,9,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,KORADI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,2400,25,19,0,366,366,19,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,NASIK TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,630,25,7,0,180,180,27,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,PARLI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1170,25,12,0,208,208,17,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,PARAS TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,500,25,5,0,164,164,33,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,TIRORA TPS,ADANI POWER LTD.,IPP,3300,20,47,0,141,141,3,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,DAHANU TPS,RELIANCE INFRASTRUCTURE LTD.,PVT,500,25,7,12,261,273,41,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,BUTIBORI TPP,Vidarbha Industries Power Ltd.,IPP,600,20,4,0,93,93,21,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,AMARAVATI TPS,RattanIndia Power Limited,IPP,1350,20,19,70,94,165,9,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,EMCO WARORA TPS,EMCO ENERGY LTD,IPP,600,20,9,0,70,70,8,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,MAUDA TPS,NTPC LIMITED.,CENTRAL,2320,20,15,0,195,195,13,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,WARDHA WARORA TPP,WARDHA POWER COMPANY LTD,IPP,540,NA,0,0,7,7,NA,NULL,NULL,NA
16-Feb-17,WESTERN,MAHARASHTRA,RAIL,DHARIWAL TPP,DHARIWAL INFRASTRUCTURE PVT. LTD.,IPP,0,20,6,0,92,92,17,NULL,NULL,NA
16-Feb-17,SOUTHERN,ANDHRA PRADESH,RAIL,Dr. N.TATA RAO TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,3520,20,25,0,312,312,12,NULL,NULL,NA
16-Feb-17,SOUTHERN,ANDHRA PRADESH,RAIL,RAYALASEEMA TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1050,25,16,0,201,201,13,NULL,NULL,NA
16-Feb-17,SOUTHERN,ANDHRA PRADESH,RAIL,SIMHADRI,NTPC LIMITED.,CENTRAL,2000,25,31,0,353,353,11,NULL,NULL,NA
16-Feb-17,SOUTHERN,ANDHRA PRADESH,RAIL,DAMODARAM SANJEEVAIAH TPS,ANDHRA PRADESH POWER DEVELOPMENT COMPANY,STATE,1600,20,15,133,49,183,12,NULL,NULL,NA
16-Feb-17,SOUTHERN,ANDHRA PRADESH,RAIL,VIZAG TPP,HINDUJA NATIONAL POWER CORP,IPP,0,20,14,0,0,0,0,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,SOUTHERN,ANDHRA PRADESH,RAIL,PAINAMPURAM TPP,THERMAL POWERTECH CORPORATION INDIA LTD.,IPP,1320,20,23,181,113,294,13,NULL,NULL,NA
16-Feb-17,SOUTHERN,KARNATAKA,RAIL,RAICHUR TPS,KARNATAKA POWER CORPORATION LIMITED,STATE,1720,30,23,0,79,79,3,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,SOUTHERN,KARNATAKA,RAIL,BELLARY TPS,KARNATAKA POWER CORPORATION LIMITED,STATE,1700,30,9,15,1,16,2,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,SOUTHERN,TAMIL NADU,INTER MODAL,ENNORE TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,340,30,6,0,6,6,1,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,SOUTHERN,TAMIL NADU,INTER MODAL,METTUR TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1440,30,22,118,111,229,10,NULL,NULL,NA
16-Feb-17,SOUTHERN,TAMIL NADU,INTER MODAL,NORTH CHENNAI TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1830,30,14,53,61,115,8,NULL,NULL,NA
16-Feb-17,SOUTHERN,TAMIL NADU,INTER MODAL,TUTICORIN TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1050,30,10,127,219,346,35,NULL,NULL,NA
16-Feb-17,SOUTHERN,TAMIL NADU,INTER MODAL,VALLUR TPP,NTPC TAMILNADU ENERGY COMPANY LIMITED,CENTRAL,1500,30,21,35,181,216,11,NULL,NULL,NA
16-Feb-17,SOUTHERN,TAMIL NADU,RAIL,TUTICORIN (JV) TPP,NLC TAMIL NADU POWER LTD,CENTRAL,1000,20,11,288,13,301,27,NULL,NULL,NA
16-Feb-17,SOUTHERN,TELANGANA,RAIL,KOTHAGUDEM TPS,TELANGANA STATE GENCO,STATE,720,20,29,0,431,431,15,NULL,NULL,NA
16-Feb-17,SOUTHERN,TELANGANA,PITHEAD,RAMAGUNDEM STPS,NTPC LIMITED.,CENTRAL,2663,15,42,0,453,453,11,NULL,NULL,NA
16-Feb-17,SOUTHERN,TELANGANA,PITHEAD,KAKATIYA TPS,TELANGANA STATE GENCO,STATE,1100,15,14,0,59,59,4,CRITICAL,NULL,NA
16-Feb-17,EASTERN,BIHAR,RAIL,MUZAFFARPUR TPS,KANTI BIJLEE UTPADAN NIGAM LTD.,CENTRAL,610,20,3,0,11,11,3,CRITICAL,SUPERCRITICAL,NA
16-Feb-17,EASTERN,BIHAR,PITHEAD,KAHALGAON TPS,NTPC LIMITED.,CENTRAL,2340,15,39,0,361,361,9,NULL,NULL,NA
16-Feb-17,EASTERN,BIHAR,RAIL,BARH II,NTPC LIMITED.,CENTRAL,1320,20,18,0,229,229,13,NULL,NULL,NA
